Gender,Annual Income,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region
Male,13500,Ford,Expedition,Auto,Black,26000,SUV,Middletown
Male,1480000,Dodge,Durango,Auto,Black,19000,SUV,Aurora
Male,1035000,Cadillac,Eldorado,Manual,Red,31500,Passenger,Greenville
Male,13500,Toyota,Celica,Manual,Pale White,14000,SUV,Pasco
Male,1465000,Acura,TL,Auto,Red,24500,Hatchback,Janesville
Male,850000,Mitsubishi,Diamante,Manual,Pale White,12000,Hatchback,Scottsdale
Male,1600000,Toyota,Corolla,Manual,Pale White,14000,Passenger,Austin
Male,13500,Mitsubishi,Galant,Auto,Pale White,42000,Passenger,Austin
Male,815000,Chevrolet,Malibu,Manual,Pale White,82000,Hardtop,Pasco
Female,13500,Ford,Escort,Auto,Pale White,15000,Passenger,Scottsdale
Male,13500,Acura,RL,Manual,Pale White,31000,SUV,Austin
Male,13500,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Pasco
Male,885000,Mercury,Grand Marquis,Auto,Black,9000,SUV,Aurora
Male,13500,BMW,323i,Auto,Pale White,15000,Hatchback,Greenville
Male,722000,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Middletown
Male,746000,Subaru,Forester,Manual,Pale White,17000,Hatchback,Aurora
Female,535000,Hyundai,Accent,Manual,Black,18000,Hatchback,Greenville
Female,570000,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Pasco
Male,685000,Toyota,Land Cruiser,Auto,Pale White,33000,SUV,Janesville
Male,455000,Honda,Accord,Auto,Pale White,21000,Sedan,Scottsdale
Male,13500,Toyota,4Runner,Manual,Black,25000,Sedan,Austin
Male,2500000,Infiniti,I30,Auto,Black,21000,Hardtop,Austin
Male,585000,Audi,A4,Manual,Pale White,12000,Hardtop,Middletown
Male,920000,Porsche,Carrera Cabrio,Auto,Pale White,18000,Passenger,Pasco
Male,672000,Volkswagen,Jetta,Auto,Pale White,22000,Passenger,Janesville
Male,801250,Dodge,Viper,Auto,Pale White,31250,SUV,Scottsdale
Female,820000,Buick,Regal,Auto,Black,19000,Passenger,Austin
Male,791000,Chrysler,LHS,Manual,Pale White,41000,Hatchback,Janesville
Male,13500,Chrysler,LHS,Manual,Pale White,41000,Hatchback,Janesville
Male,1020000,Saturn,LW,Manual,Pale White,13000,Hatchback,Scottsdale
Male,210000,Mitsubishi,3000GT,Manual,Pale White,20000,Sedan,Austin
Male,750000,Mercedes-B,SLK230,Manual,Pale White,14000,Hatchback,Middletown
Male,635000,Honda,Accord,Auto,Pale White,19000,Sedan,Aurora
Male,675000,Honda,Civic,Manual,Black,43000,Hatchback,Greenville
Male,880000,Jaguar,S-Type,Auto,Black,16000,Passenger,Pasco
Male,13500,Volvo,S40,Auto,Pale White,42000,Sedan,Middletown
Male,13500,Mercury,Mountaineer,Auto,Pale White,21000,SUV,Aurora
Male,13500,Buick,Park Avenue,Auto,Black,61000,Hatchback,Greenville
Male,941000,Mitsubishi,Montero Sport,Auto,Pale White,39000,SUV,Pasco
Female,13500,Nissan,Sentra,Auto,Black,16000,Passenger,Pasco
Male,13500,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Janesville
Female,13500,Volvo,S80,Manual,Pale White,21000,Sedan,Scottsdale
Male,967500,Chevrolet,Lumina,Manual,Black,42500,Passenger,Austin
Male,600000,Mitsubishi,Montero Sport,Auto,Black,45001,Hatchback,Middletown
Male,575000,Pontiac,Bonneville,Manual,Black,36001,Hatchback,Aurora
Male,566000,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Greenville
Male,1250000,BMW,323i,Manual,Pale White,21001,Hatchback,Pasco
Male,730000,Acura,TL,Auto,Pale White,29000,Hatchback,Scottsdale
Male,4060000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Austin
Male,13500,Cadillac,DeVille,Auto,Pale White,22000,SUV,Middletown
Male,1180000,Dodge,Stratus,Auto,Pale White,31000,Hatchback,Aurora
Male,1360000,Audi,A4,Auto,Black,27000,Hardtop,Austin
Female,640000,Mercury,Cougar,Auto,Black,33000,Hatchback,Scottsdale
Male,615000,Chevrolet,Malibu,Manual,Pale White,14000,Hardtop,Middletown
Male,520000,Acura,RL,Manual,Pale White,17000,SUV,Middletown
Male,1876000,Saturn,SW,Auto,Pale White,25600,Passenger,Janesville
Male,13500,Volvo,C70,Manual,Black,17000,Hatchback,Scottsdale
Male,13500,Mercury,Mountaineer,Manual,Pale White,21000,SUV,Austin
Male,890000,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Middletown
Male,1800000,Mercedes-B,SLK,Manual,Pale White,17000,Passenger,Aurora
Male,1330000,Toyota,Tacoma,Manual,Black,36000,Hardtop,Janesville
Male,393000,Mercedes-B,C-Class,Manual,Pale White,17000,Hatchback,Janesville
Male,440000,Mercedes-B,M-Class,Manual,Pale White,41000,Hatchback,Austin
Female,280000,Audi,A6,Auto,Black,14000,SUV,Middletown
Male,1151000,Dodge,Intrepid,Auto,Pale White,31100,Sedan,Greenville
Male,1650000,Buick,Park Avenue,Auto,Black,61000,Hatchback,Pasco
Male,13500,Dodge,Viper,Manual,Black,26000,SUV,Janesville
Male,895000,Toyota,Sienna,Manual,Black,12000,Passenger,Aurora
Female,660000,Volvo,S40,Auto,Pale White,42000,Sedan,Greenville
Male,13500,Mitsubishi,Diamante,Auto,Pale White,21000,Hatchback,Pasco
Male,1636000,Cadillac,DeVille,Auto,Pale White,22600,SUV,Middletown
Female,1000000,Jaguar,S-Type,Manual,Pale White,45000,Passenger,Aurora
Female,745000,Mitsubishi,Eclipse,Manual,Black,25000,SUV,Greenville
Male,300000,Ford,Contour,Auto,Pale White,62000,Sedan,Pasco
Male,1097000,Volkswagen,Jetta,Auto,Black,22700,Passenger,Janesville
Female,542000,Mitsubishi,Montero Sport,Auto,Black,45000,SUV,Scottsdale
Male,1200000,Lincoln,Town car,Manual,Black,17000,Hatchback,Pasco
Male,490000,Ford,Focus,Manual,Black,49000,Hardtop,Austin
Male,410000,Audi,A6,Manual,Black,15000,SUV,Scottsdale
